spotify_track_id,spotify_title,spotify_artists,spotify_duration_ms,youtube_video_id,youtube_title,youtube_url
2OtLY8mm6sHy3u85zzZg1c,二人話,Vaundy,204893,o7aOhAYyTTU,Futaribanashi,https://www.youtube.com/watch?v=o7aOhAYyTTU
7C4pZa37R3hTIA4NWzbj9W,HERO,Vaundy,200413,hfwfAxkK_YU,HERO / Vaundy：MUSIC VIDEO,https://www.youtube.com/watch?v=hfwfAxkK_YU
20CH6NjUJ8GGJQesmiqPeB,CHAINSAW BLOOD,Vaundy,202801,FL1QjjkZVm4,CHAINSAW BLOOD / Vaundy：MUSIC VIDEO,https://www.youtube.com/watch?v=FL1QjjkZVm4
72DWkd9AazMHYDafzpq4XF,rose - feat. Vaundy,"Chilli Beans., Vaundy",187767,kwfPxOM415o,Chilli Beans. - rose feat. Vaundy (Official Music Video),https://www.youtube.com/watch?v=kwfPxOM415o
1CC9gpmBhKRr9SzYEfStct,融解sink,Vaundy,243221,B383PElQMHo,融解sink / Vaundy ： MUSIC VIDEO,https://www.youtube.com/watch?v=B383PElQMHo
6NffEVuGbmTvIpfSS93aMU,地球儀,"Aimer, Vaundy",232786,NmC5M8RylVY,Aimer「地球儀 with Vaundy」MUSIC VIDEO（new album『Walpurgis』now on sale）,https://www.youtube.com/watch?v=NmC5M8RylVY
5y1N9zfII6NnDRzNPmMPJv,mabataki,Vaundy,246050,6h6AQbdTkaE,mabataki / Vaundy：MUSIC VIDEO,https://www.youtube.com/watch?v=6h6AQbdTkaE
0xA1ywCFITFpv9IO4YKodn,Tokyo Flash - TEMPLIME Remix,"Vaundy, TEMPLIME",258950,8Vjo1qYvfIU,Tokyo Flash - Vaundy (Remix by TEMPLIME),https://www.youtube.com/watch?v=8Vjo1qYvfIU
6DqmRsI9FxY5OR6yFo3QR1,ASH feat. Vaundy,"Nulbarich, Vaundy",228224,tYDP25hNaNY,Nulbarich - ASH feat. Vaundy (Official Music Video),https://www.youtube.com/watch?v=tYDP25hNaNY
3I7zyBNpewaGeIRDO1QBwp,置き手紙,Vaundy,240863,B50A9Nf5FCE,置き手紙 / Vaundy：MUSIC VIDEO,https://www.youtube.com/watch?v=B50A9Nf5FCE
4oEcfGnvhxjjMscLLnNYSR,美電球,Vaundy,176940,bS6RCQZoErg,美電球,https://www.youtube.com/watch?v=bS6RCQZoErg
26H7pT0IHTko0AA3A35S73,怪獣の花唄 - replica -,Vaundy,222880,16gZm9oeLtI,怪獣の花唄 - replica -,https://www.youtube.com/watch?v=16gZm9oeLtI
0BJoEqn7PsV1M36n1qXZ1l,ココロありがとう,Vaundy,288866,jkbgzx195v4,ココロありがとう,https://www.youtube.com/watch?v=jkbgzx195v4
2TUKLEXyjtKOmTjJupAexh,まぶた,Vaundy,256892,fjx_uy5eD8g,まぶた / Vaundy：MUSIC VIDEO,https://www.youtube.com/watch?v=fjx_uy5eD8g
7sd09c4dFK5dLHRsySex9L,トドメの一撃,"Vaundy, Cory Wong",310448,7xRWOylrLfI,トドメの一撃 feat. Cory Wong  (TVアニメ『SPY×FAMILY』Season 2 エンディング主題歌) / Vaundy：MUSIC VIDEO,https://www.youtube.com/watch?v=7xRWOylrLfI
5XGhwqu1TB391if1pD4lje,カーニバル,Vaundy,203937,WEINueQJxbE,カーニバル / Vaundy：MUSIC VIDEO,https://www.youtube.com/watch?v=WEINueQJxbE
6pdUfehrxvlrMaNBmNiaJb,benefits,Vaundy,246157,HH1g5faSLTY,benefits / Vaundy：MUSIC VIDEO,https://www.youtube.com/watch?v=HH1g5faSLTY
1wHdWpoAQA8BfYpDSpz309,Modern Loneliness - Vaundy Remix,"Lauv, Vaundy",210322,k58fJasUeP4,Modern Loneliness (Vaundy Remix),https://www.youtube.com/watch?v=k58fJasUeP4
12CAcVzra8ZX8WGCRs73r9,1リッター分の愛をこめて,Vaundy,190331,jdKRY_klMoM,1リッター分の愛をこめて,https://www.youtube.com/watch?v=jdKRY_klMoM
6Sj8igey2JUWN6HtmiADtq,走馬灯,Vaundy,297522,3Dy4EbMPkY0,走馬灯 / Vaundy：MUSIC VIDEO,https://www.youtube.com/watch?v=3Dy4EbMPkY0
419L5Vb2jXSEm19LH9IbmV,呼吸のように,Vaundy,345139,68dmvGPR8JE,呼吸のように (映画「正欲」主題歌) / Vaundy：MUSIC VIDEO,https://www.youtube.com/watch?v=68dmvGPR8JE
2EOOd0UJfRZzzlok8IZ6iZ,宮,Vaundy,315161,PImnxaS4c-g,宮,https://www.youtube.com/watch?v=PImnxaS4c-g
2ZLdeyeaIQdP4mqcMCB9yR,replica,Vaundy,313974,Uv67h_E7xsM,replica / Vaundy：MUSIC VIDEO,https://www.youtube.com/watch?v=Uv67h_E7xsM
6y3ZWLQTlgRUqqNKBt3WgO,忘れ物,Vaundy,198579,tQq8C7irREk,忘れ物 / Vaundy：MUSIC VIDEO,https://www.youtube.com/watch?v=tQq8C7irREk
4PQJs2U6R1xhXLxyjmf4gj,NEO JAPAN,Vaundy,253123,QC6gd_b1nz8,NEO JAPAN,https://www.youtube.com/watch?v=QC6gd_b1nz8
65HcaAy1eQRr5pxVvVAqc5,ZERO,Vaundy,232301,Fs7MW0rx9Cw,ZERO / Vaundy：MUSIC VIDEO,https://www.youtube.com/watch?v=Fs7MW0rx9Cw
3YOzU8IiYNHphHhVrgvuV9,黒子,Vaundy,248988,CBN6EmuCb14,黒子,https://www.youtube.com/watch?v=CBN6EmuCb14
3aNHHvXx1RyZnNZPhGzKFH,Audio 007,Vaundy,71423,Tj-flUAsykU,Audio 007,https://www.youtube.com/watch?v=Tj-flUAsykU
3wfW86CJqG9no0UFbiZsdi,Audio 006,Vaundy,74926,nSU-xvaiClw,Audio 006,https://www.youtube.com/watch?v=nSU-xvaiClw
3bOCsb2U3BgkKbPeIofmkU,Audio 003,Vaundy,108106,X1_2S0ttAic,Audio 003,https://www.youtube.com/watch?v=X1_2S0ttAic
0EXDDf7g5TXkTLU4Haovuj,Audio 008,Vaundy,22024,-w7zxa7h4u4,Audio 008,https://www.youtube.com/watch?v=-w7zxa7h4u4
2x6iNna6wQexggFz8smJcB,Seventh Heaven,INOHA,234499,FPyD84d4LT8,INOHA - Seventh Heaven (Lyrics),https://www.youtube.com/watch?v=FPyD84d4LT8
6WfSQrAPYNLFQICqMhsfhB,ALUCARDA,INOHA,215671,w0-WY82Kl00,INOHA - ALUCARDA (Official Music Video),https://www.youtube.com/watch?v=w0-WY82Kl00
0xLPEQkDnquzQ4uZhV2DmX,"Heartbreak, Heartbreak",INOHA,174000,zz6fP2xv2GE,"Heartbreak, Heartbreak",https://www.youtube.com/watch?v=zz6fP2xv2GE
3EWIsGwuh6wxxyA1HeBSnb,I Should've Known,INOHA,209997,jRC4PieJ7MI,I Should've Known,https://www.youtube.com/watch?v=jRC4PieJ7MI
2Hm5rPArM5mlSF5bZEzzPT,GESHUOU,INOHA,199830,CM4DiAPbXXI,GESHUOU,https://www.youtube.com/watch?v=CM4DiAPbXXI
2p9GLJh4Qoa7HuLhhdPhjA,Imitate,INOHA,236001,XoG3d9hnrUc,Imitate,https://www.youtube.com/watch?v=XoG3d9hnrUc
4PvkBxz8XXi0BEbq25ucpk,Pretty Curse,INOHA,226506,-RU_O5yXvIg,Pretty Curse,https://www.youtube.com/watch?v=-RU_O5yXvIg
2JZXXxUbR6yvHaoQmj8qwU,Bullet Boy,INOHA,224790,-v2fK09YNds,INOHA - Bullet Boy (Official Music Video),https://www.youtube.com/watch?v=-v2fK09YNds
3Gq4qo8QepeFNfngKWFZ9k,Saturday Nights,INOHA,176914,N4qQSbiIdH8,INOHA - Saturday Nights (Official Music Video),https://www.youtube.com/watch?v=N4qQSbiIdH8
7fVw9aN3DM6bdvXSezVlJ2,Murder at the Peach Tree,INOHA,243970,KFtjw56AdTY,Murder at the Peach Tree,https://www.youtube.com/watch?v=KFtjw56AdTY
0ZwYhHfx6TRjox8Q47F5zu,Man of the Hour,INOHA,173999,7dt1m-xeXGw,Man of the Hour,https://www.youtube.com/watch?v=7dt1m-xeXGw
08WQDo1VzshN3IsXi1p5pg,Kraken,INOHA,266010,boYofd2XzvM,Kraken,https://www.youtube.com/watch?v=boYofd2XzvM
7w3BFY9IyREbNuzrT4VkZZ,A Next Time,INOHA,247926,tpiJTExYv6w,A Next Time,https://www.youtube.com/watch?v=tpiJTExYv6w
2RNyxqyOlRhTGw8KL6iqp8,Fire in the Sun,INOHA,244552,Te6Fe_2j7j4,Fire in the Sun,https://www.youtube.com/watch?v=Te6Fe_2j7j4
0Anvq9Q3vHQ8fVAmwAnvHO,Chance 2 Dance,INOHA,180002,XAOCZVFU7eY,Chance 2 Dance,https://www.youtube.com/watch?v=XAOCZVFU7eY
1wA6HtnW1qpAIaF7QvQxYL,Naomi,INOHA,261306,XZbl_edMwXw,Naomi,https://www.youtube.com/watch?v=XZbl_edMwXw
1ZA2DI0G7SeVbP1A6JQ1k2,Cabaret,INOHA,270233,ORXoG4lcQ1k,Cabaret,https://www.youtube.com/watch?v=ORXoG4lcQ1k
4PLrn9L2yWX1svRP8qW4yT,Papaya Man,INOHA,227803,n_CTOxiKmbs,Papaya Man,https://www.youtube.com/watch?v=n_CTOxiKmbs
3s6ltUrI93LBKU8taezsLn,Magic in the Air (feat. Ahmed Chawki),"Magic System, Chawki",233693,BAkqJT_sMKQ,MAGIC SYSTEM - Magic In The Air Feat. Chawki [Clip Officiel],https://www.youtube.com/watch?v=BAkqJT_sMKQ
1QV6tiMFM6fSOKOGLMHYYg,Poker Face,Lady Gaga,237200,bESGLojNYSo,Lady Gaga - Poker Face (Official Music Video),https://www.youtube.com/watch?v=bESGLojNYSo
